# r: reconstructed, t: true linear density, i: input catalog.
# Columns:
# k Prr Ptt Prt Pii Pit
1.256732101643581068e+00 8.055015499562832915e+00 2.142242468802162136e+01 7.074874314442412881e+00 8.881247913520387272e+01 4.154927631448215863e-03
1.269292323845431003e+00 7.727947772837194584e+00 2.078462633590763531e+01 6.718318999141898118e+00 8.784012013417583375e+01 1.394833230946251612e-01
1.281879294795338575e+00 7.380319900148098355e+00 2.049855336885658730e+01 6.438790612547139247e+00 8.599141945432614875e+01 1.551398734150037373e-01
1.294474366866166459e+00 7.056715144104933835e+00 2.004503933533749205e+01 6.154431862371187556e+00 8.542960021537219006e+01 -5.556239475016264834e-02
1.306953485902825340e+00 6.744770270976800930e+00 1.954896329713338332e+01 5.821805024423763797e+00 8.414427199259071699e+01 2.362641567499589312e-01
1.319527404481935839e+00 6.472260171626179392e+00 1.921867928958715765e+01 5.558745232606128184e+00 8.235374062531130335e+01 -2.499773470965148126e-01
1.332150318721725180e+00 6.151382260267152624e+00 1.857116057584249802e+01 5.230995366089591592e+00 8.211514716132978720e+01 -1.726034661418694993e-01
1.344680388661143589e+00 5.916208198114127015e+00 1.831114635709013072e+01 5.038509182138529496e+00 8.050770923576193638e+01 1.329605002863977481e-01
1.357215874765928199e+00 5.681387123231494307e+00 1.800062880185906522e+01 4.848411762695645777e+00 7.897877110245369181e+01 -2.498390350539949345e-01
1.369827102883646175e+00 5.448430136076999553e+00 1.751045967474277987e+01 4.578790242283438339e+00 7.757492864254895437e+01 1.012151769415864516e-01
1.382450188695815596e+00 5.223573041326013744e+00 1.704108410021459719e+01 4.303449649143594513e+00 7.643422594362600364e+01 -9.487630542609634676e-02
1.394942087226231697e+00 4.995342181775511925e+00 1.669749442626370595e+01 4.067774270199089770e+00 7.527463852201462657e+01 1.344583157456420708e-01
1.407461509780042475e+00 4.820121178721193722e+00 1.638011034674977395e+01 3.917728089012200154e+00 7.427769120646624401e+01 -9.102046123175668024e-02
1.420043587303239985e+00 4.649556433542058720e+00 1.608668413648869233e+01 3.785752576902488897e+00 7.312455028694493819e+01 -1.077883853044977608e-01
1.432650157448474015e+00 4.453429117256340497e+00 1.574306985899013966e+01 3.560221691387063903e+00 7.192563771312963183e+01 8.392719233883498553e-02
1.445201889518385352e+00 4.277021815944822336e+00 1.538015018727953809e+01 3.397529607137229402e+00 7.077194322217778222e+01 -3.277561774026631347e-02
1.457743340213754291e+00 4.130633279364144705e+00 1.512305710921401136e+01 3.246034736532234177e+00 6.941853988813659271e+01 2.627798310089785039e-02
1.470375891832650161e+00 3.935822118552946502e+00 1.479506145005954210e+01 3.074368373741227511e+00 6.867255153596244099e+01 4.850844143456695817e-02
1.482937029395567929e+00 3.802671455024325464e+00 1.445109376976778925e+01 2.920914824548288102e+00 6.807857660413814926e+01 3.124058502863094958e-02
1.495420895544604889e+00 3.649337021575082662e+00 1.421745494348844296e+01 2.784807074409711536e+00 6.603256626955842989e+01 7.462641614765412601e-02
1.507977045351776457e+00 3.509473561897009208e+00 1.384952998316850348e+01 2.613513774600939588e+00 6.560529037084300796e+01 1.029947651669123609e-01
1.520582956583388823e+00 3.377487054709103820e+00 1.365611749715339229e+01 2.517737251260641074e+00 6.426170362739250663e+01 -6.831774017411755551e-02
1.533178487405025159e+00 3.296152172055414997e+00 1.341591763600047038e+01 2.417474111043462326e+00 6.321510131273966238e+01 8.271606209310677915e-02
1.545747637411611253e+00 3.180332457293035819e+00 1.313211563731931797e+01 2.297442017082786059e+00 6.261004993429698118e+01 -6.106152985381078230e-02
1.558298828178782625e+00 3.044802214779041449e+00 1.291910603936231006e+01 2.191593316715999329e+00 6.152761593186892952e+01 6.558332988491197280e-02
1.570903180355716744e+00 2.957698835836855888e+00 1.264728958810414916e+01 2.094331324966961727e+00 6.042498007606403831e+01 1.086490235537492383e-01
1.583481949620817009e+00 2.852096943566545750e+00 1.241573603804638637e+01 1.980308022506739984e+00 5.970165190787281517e+01 -1.983768978465750080e-02
1.595988077022332474e+00 2.767763857955951590e+00 1.219318485523385398e+01 1.886383166295471536e+00 5.891082900272209599e+01 -3.002494934731502266e-02
1.608514369353752693e+00 2.661586931027434932e+00 1.194295675954491820e+01 1.812080296055512685e+00 5.786630787048300562e+01 -8.556553547836516505e-02
1.621123892569034330e+00 2.589341659309048360e+00 1.169797689233193694e+01 1.729689116895939405e+00 5.698550311868075369e+01 -1.646950479557985139e-02
1.633728373455076266e+00 2.507018914822102928e+00 1.149708722096165303e+01 1.631708512611450557e+00 5.588397842072063071e+01 -3.961263183267349497e-02
1.646251339251006307e+00 2.430552828653970376e+00 1.133179302349498485e+01 1.567657934348675619e+00 5.506250993371291713e+01 -3.710627527983853535e-02
1.658822149745228902e+00 2.359028271129532506e+00 1.112538010081721573e+01 1.494234713385883540e+00 5.418064743839198627e+01 1.503474694872937618e-02
1.671422741487400998e+00 2.288447789610061456e+00 1.091632659510116454e+01 1.420095972409060936e+00 5.311957728803459844e+01 1.591076825361871505e-02
1.683989600492121985e+00 2.228882492908083268e+00 1.064353066977738749e+01 1.350270531208851432e+00 5.257683130517775538e+01 1.042753418991423410e-02
1.696518670180760191e+00 2.167303002938924639e+00 1.054212275730991522e+01 1.303849584678874018e+00 5.224391316972730692e+01 -1.201791555279175736e-02
1.709060223180288274e+00 2.110609375134142152e+00 1.031858736617989258e+01 1.238333934289712612e+00 5.075621345970587583e+01 -4.343055915503386821e-02
1.721687082845960282e+00 2.054505441135658472e+00 1.008713385866503032e+01 1.157679927507589968e+00 5.033224566685449020e+01 1.459548516847705181e-02
1.734278672423484435e+00 2.008747844990310227e+00 9.969759603687951000e+00 1.128240641700014146e+00 4.947966425892834508e+01 -3.110860821176666610e-02
1.746789616222764074e+00 1.955176162299414377e+00 9.803538882767648843e+00 1.099685503980647683e+00 4.855268455541840922e+01 -1.053375104331491507e-01
1.759329241190461302e+00 1.902605487646767957e+00 9.675740829275010668e+00 1.043966417056292340e+00 4.790264891539514736e+01 1.886630414731198593e-02
1.771913017457520167e+00 1.844221052115595505e+00 9.440267540595263185e+00 9.868796292405944692e-01 4.711695197394220003e+01 -8.245883655379421598e-03
1.784506984840462440e+00 1.816289232122244579e+00 9.322584824618573407e+00 9.517132398842568231e-01 4.659358780064545869e+01 5.591204397228181563e-03
1.797043571570827281e+00 1.769340219638547484e+00 9.159161301480240880e+00 9.140443826694650831e-01 4.570186464794156933e+01 -4.356577937500982593e-03
1.809548984082922862e+00 1.734363957342694995e+00 8.987247171159268078e+00 8.628212693102468300e-01 4.496191339483933547e+01 4.370574234983906625e-02
1.822122154412412876e+00 1.687499646191701785e+00 8.844388506042102804e+00 8.300372159155238183e-01 4.433107399216527256e+01 1.984457673205673039e-02
1.834730406145743231e+00 1.659234031824711186e+00 8.631315076547510401e+00 7.842490915332575030e-01 4.344128876682966478e+01 4.000250981817408090e-03
1.847312995744837982e+00 1.620305860171894485e+00 8.585637902210176975e+00 7.670388115789396055e-01 4.289809693550644454e+01 3.044977556920703404e-02
1.859889607793621558e+00 1.587342970978206314e+00 8.427385643682915983e+00 7.340695145979838632e-01 4.240094924996189718e+01 -2.251647256890771092e-03
1.872489012897199601e+00 1.563645762696741492e+00 8.292108033834184155e+00 7.024969105785360268e-01 4.169228380741639484e+01 -5.857940829580067690e-06
1.885078020575032820e+00 1.532173244730124395e+00 8.131296095943202573e+00 6.763652663753296768e-01 4.088827368703903886e+01 -2.059334985086216582e-02
1.897623285193987819e+00 1.503505146053231378e+00 7.990955395027527608e+00 6.527930707998738091e-01 4.016803310306133312e+01 1.156874867129694534e-02
1.910142874919707578e+00 1.477533409685186649e+00 7.862201865560944469e+00 6.267545151369848799e-01 3.967319222039008508e+01 6.593397467156270238e-03
1.922710527229661404e+00 1.448277691748677265e+00 7.772203148665077777e+00 6.011290470465983082e-01 3.893787227395287687e+01 -1.361492012956789024e-02
1.935309720949742740e+00 1.429503807204054677e+00 7.632749634388209081e+00 5.798557607229430921e-01 3.847347561586387599e+01 -4.960133289704772575e-02
1.947863979464039774e+00 1.396834202621700216e+00 7.561975343214716538e+00 5.581484532834596335e-01 3.783888411044213029e+01 5.409003517002796378e-03
1.960397858295695572e+00 1.374755196856057404e+00 7.390744234252496270e+00 5.379802984554924450e-01 3.713281980526911497e+01 -3.918119785161741642e-02
1.972977325685492334e+00 1.361689937707935227e+00 7.310792679395355265e+00 5.164854473541959923e-01 3.661997335855904367e+01 2.655053844950353015e-02
1.985558787232839961e+00 1.338155319532901899e+00 7.211391105205664509e+00 4.962623609789128531e-01 3.608690694450655201e+01 -7.009091580340773113e-03
1.998072233306018353e+00 1.322497259101523159e+00 7.068240066319459558e+00 4.795009567436385733e-01 3.556361732152914357e+01 -5.828263033703954404e-02
2.010620344776472113e+00 1.301649135833504056e+00 6.974688720059090130e+00 4.631412196090844979e-01 3.510678174403664542e+01 3.585076475786579120e-02
2.023251610983708204e+00 1.289027641662760848e+00 6.863371296741558325e+00 4.544160900378010903e-01 3.436637529598675656e+01 -3.085652403503752819e-02
2.035835533884408299e+00 1.272367011951583970e+00 6.756814994359584325e+00 4.332352929967377420e-01 3.389556998688984635e+01 2.231640630954831103e-02
2.048395379966132079e+00 1.257694921737522398e+00 6.679116385609725981e+00 4.264095224318633637e-01 3.320483056054306559e+01 1.641980668511879710e-02
2.060945147469124716e+00 1.239759316308003623e+00 6.565601839449950461e+00 3.997047727475667167e-01 3.280473554186385599e+01 -4.831595943276185273e-02
2.073515553396622302e+00 1.225343575069899549e+00 6.460845448257020784e+00 3.845761514505938172e-01 3.232865496736091160e+01 2.007942221659507129e-02
2.086066723810456658e+00 1.217295046375226120e+00 6.393635916652604223e+00 3.821542114465928397e-01 3.173566702936709660e+01 -2.379335699068713117e-02
2.098603368989102158e+00 1.206222279358630800e+00 6.294284035755538298e+00 3.652500556546552368e-01 3.130140427541550707e+01 -6.161146337203554299e-03
2.111186118591347416e+00 1.187650493852586031e+00 6.194316392915379943e+00 3.588913169896010280e-01 3.075172516913146126e+01 -3.394391545066693244e-02
2.123742914204882481e+00 1.180171415443739713e+00 6.116813919892014617e+00 3.513523748068695940e-01 3.020769398102441272e+01 4.611260984728055706e-02
2.136356002083211969e+00 1.171981351161634599e+00 5.995180568225891626e+00 3.353635792850470643e-01 2.987209181638906941e+01 -3.605606586141368169e-02
2.148940360987024345e+00 1.159673225171537148e+00 5.941234520652797890e+00 3.333594027637297730e-01 2.927869112380744099e+01 3.369778923826576705e-02
2.161474107539247402e+00 1.148642639563858037e+00 5.858111871740639742e+00 3.152369881223394121e-01 2.866247423457168964e+01 -1.972468385844688976e-02
2.174040978425872961e+00 1.143820930167612548e+00 5.779925316368162314e+00 3.060838909228003057e-01 2.828782720633214964e+01 -1.019959917161975503e-02
2.186628925943498114e+00 1.132787601067587691e+00 5.672609702488420780e+00 3.042535676204307094e-01 2.790535102179658011e+01 -1.456217026290655865e-02
2.199175739201659319e+00 1.124988787197041429e+00 5.599283559182646641e+00 2.956663089482423623e-01 2.741676924608059096e+01 -4.559323134647921133e-02
2.211694927763240948e+00 1.118453185402516592e+00 5.492467413123052644e+00 2.901836164310246380e-01 2.696263097639986128e+01 -3.666373848822688380e-02
2.224268561340358108e+00 1.113144624813943606e+00 5.454498117846673821e+00 2.855516395181078027e-01 2.648773679317649510e+01 -1.100441335069964749e-02
2.236856754825670812e+00 1.102777466592232525e+00 5.386125074475915042e+00 2.768395120701049872e-01 2.615265685003179286e+01 -1.617256445960839339e-02
2.249431291560397561e+00 1.097330811715918175e+00 5.317729388248280564e+00 2.634427085664135526e-01 2.565058102242045379e+01 1.607325093286481044e-02
2.261992248723002863e+00 1.087166428701323628e+00 5.218771656484535448e+00 2.553797741028993595e-01 2.533429010965246420e+01 -6.772911946269801614e-03
2.274568913392634784e+00 1.086235775429825523e+00 5.171808464255090776e+00 2.524444884483652563e-01 2.487494489417258947e+01 -2.145211718027114495e-02
2.287142576871707966e+00 1.079605016058900357e+00 5.090736999995185030e+00 2.484026683475945574e-01 2.439166381763638114e+01 7.133893620469440242e-03
2.299695334405141622e+00 1.075329296479906604e+00 5.016035229425758857e+00 2.426752085499855049e-01 2.397117635606459984e+01 4.560682363766584493e-03
2.312260888170544426e+00 1.067307884607240132e+00 4.956155974570489064e+00 2.331684885993063894e-01 2.361899966589650290e+01 8.670366068043736324e-04
2.324838707629530266e+00 1.064110853137510526e+00 4.891572999828361468e+00 2.344203378616591393e-01 2.322826565971915969e+01 9.100529260642763229e-04
2.337410890774656025e+00 1.063969400780879315e+00 4.836187388059357772e+00 2.296551659886919561e-01 2.279808325391014989e+01 -9.170303546007603154e-03
2.349977491451534561e+00 1.068139538786022635e+00 4.761238549852792268e+00 2.227977237357626761e-01 2.243697356625727579e+01 -2.595660159840613469e-03
2.362547955005368294e+00 1.057467050825429800e+00 4.701512463517846463e+00 2.179652331822331257e-01 2.211290467646119851e+01 2.472070371347849516e-02
2.375125318102422334e+00 1.059180570715733571e+00 4.659720768082689091e+00 2.195958335189681365e-01 2.179945200597001431e+01 1.704131365592490704e-02
2.387646426312606707e+00 1.058099446204989746e+00 4.583469257774878791e+00 2.069357561448943728e-01 2.135428234114039014e+01 2.006325050576375328e-03
2.400187392252794538e+00 1.053070749030581732e+00 4.529074385164746808e+00 2.003089714429642509e-01 2.107077296683305789e+01 7.070639307180167678e-03
